10.0.2.15,55140,34.206.172.239,443,16:46:40.223327,IP
34.206.172.239,443,10.0.2.15,55140,16:46:40.223775,IP
10.0.2.15,48576,74.125.28.83,443,16:46:41.399927,IP
74.125.28.83,443,10.0.2.15,48576,16:46:41.400445,IP
74.125.28.83,443,10.0.2.15,48576,16:46:41.431207,IP
10.0.2.15,48576,74.125.28.83,443,16:46:41.471165,IP
10.0.2.15,55992,151.101.192.133,443,16:46:42.975245,IP
151.101.192.133,443,10.0.2.15,55992,16:46:42.975636,IP
10.0.2.15,55952,151.101.192.133,443,16:46:43.487518,IP
151.101.192.133,443,10.0.2.15,55952,16:46:43.487943,IP
10.0.2.15,5135,192.168.100.1,53,16:46:44.589998,IP
10.0.2.15,32018,192.168.100.1,53,16:46:44.590203,IP
10.0.2.15,57591,192.168.100.1,53,16:46:44.591942,IP
10.0.2.15,58965,192.168.100.1,53,16:46:44.592096,IP
192.168.100.1,53,10.0.2.15,5135,16:46:44.599472,IP
192.168.100.1,53,10.0.2.15,32018,16:46:44.600036,IP
192.168.100.1,53,10.0.2.15,57591,16:46:44.600242,IP
192.168.100.1,53,10.0.2.15,58965,16:46:44.600606,IP
10.0.2.15,6123,192.168.100.1,53,16:46:44.658475,IP
10.0.2.15,12498,192.168.100.1,53,16:46:44.658687,IP
192.168.100.1,53,10.0.2.15,6123,16:46:44.660642,IP
192.168.100.1,53,10.0.2.15,12498,16:46:44.661165,IP
10.0.2.15,52381,192.168.100.1,53,16:46:44.885145,IP
10.0.2.15,3796,192.168.100.1,53,16:46:44.885422,IP
10.0.2.15,21030,192.168.100.1,53,16:46:44.886135,IP
10.0.2.15,47009,192.168.100.1,53,16:46:44.892961,IP
10.0.2.15,33139,192.168.100.1,53,16:46:44.893155,IP
192.168.100.1,53,10.0.2.15,52381,16:46:44.895645,IP
192.168.100.1,53,10.0.2.15,21030,16:46:44.896723,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.897041,IP
192.168.100.1,53,10.0.2.15,47009,16:46:44.899869,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.900636,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.900673,IP
192.168.100.1,53,10.0.2.15,33139,16:46:44.901033,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.901570,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.901931,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.908939,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.908965,IP
192.168.100.1,53,10.0.2.15,3796,16:46:44.923747,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.948233,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.948694,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.954073,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.954485,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.956922,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.956940,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.957672,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.957686,IP
172.217.4.163,443,10.0.2.15,60604,16:46:44.959369,IP
10.0.2.15,60604,172.217.4.163,443,16:46:44.959385,IP
10.0.2.15,60604,172.217.4.163,443,16:46:45.044289,IP
172.217.4.163,443,10.0.2.15,60604,16:46:45.044747,IP
10.0.2.15,58332,172.217.4.164,443,16:46:45.610854,IP
172.217.4.164,443,10.0.2.15,58332,16:46:45.611321,IP
172.217.4.164,443,10.0.2.15,58332,16:46:45.730292,IP
10.0.2.15,58332,172.217.4.164,443,16:46:45.730317,IP
172.217.4.164,443,10.0.2.15,58332,16:46:45.730393,IP
