Repl,Reply,is-a,is-a,23:54:32.289938,ARP,
192.241.190.153,443,10.42.0.161,53847,23:54:32.559693,IP
192.241.190.153,443,10.42.0.161,53847,23:54:32.649782,IP
10.42.0,161,31.13.73,36,23:54:33.094096,IP
10.42.0.161,53843,74.125.199.125,5222,23:54:34.079434,IP
10.42.0.137,62480,216.58.217.196,443,23:54:34.215916,IP
10.42.0.137,62593,172.217.4.163,80,23:54:34.956323,IP
10.42.0,161,31.13.73,36,23:54:35.103879,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:35.397156,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:35.522984,IP
10.42.0.161,53819,169.55.74.49,443,23:54:35.953543,IP
169.55.74.49,443,10.42.0.161,53819,23:54:36.014787,IP
10.42.0,161,31.13.73,36,23:54:36.105711,IP
184.85.74.67,443,10.42.0.161,53945,23:54:36.156775,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:36.303693,IP
fe80::180a:31c5:a999:532,fe80::180a:31c5:a999:5325,ff02::16,ff02::16,23:54:36.379054,IP6
10.42.0.144,5353,224.0.0.251,5353,23:54:36.521543,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:36.699957,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:36.759794,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:36.878836,IP
10.42.0,161,31.13.73,36,23:54:37.107036,IP
fe80::180a:31c5:a999:532,fe80::180a:31c5:a999:5325,ff02::16,ff02::16,23:54:37.377657,IP6
10.42.0,161,31.13.73,36,23:54:38.107088,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:38.433140,IP
10.42.0,161,31.13.73,36,23:54:39.108992,IP
10.42.0.144,5353,224.0.0.251,5353,23:54:39.517057,IP
fe80::180a:31c5:a999:532,fe80::180a:31c5:a999:5325,ff02::2,ff02::2,23:54:39.866673,IP6
10.42.0,161,31.13.73,36,23:54:40.117585,IP
10.42.0,161,31.13.73,36,23:54:41.110857,IP
10.42.0.161,53820,74.125.28.188,5228,23:54:41.876195,IP
10.42.0,161,31.13.73,36,23:54:42.113904,IP
10.42.0.144,58515,10.42.0.1,53,23:54:42.418455,IP
10.42.0.1,53,10.42.0.144,58515,23:54:42.486068,IP
10.42.0.144,58515,10.42.0.1,53,23:54:42.655206,IP
10.42.0,161,31.13.73,36,23:54:43.115998,IP
10.42.0.144,54652,17.248.129.238,443,23:54:43.704519,IP
10.42.0.144,54652,17.248.129.238,443,23:54:43.769977,IP
10.42.0.144,54652,17.248.129.238,443,23:54:43.816933,IP
10.42.0,161,31.13.73,36,23:54:44.122984,IP
10.42.0.137,60643,172.217.4.163,443,23:54:44.488113,IP
10.42.0.137,60643,172.217.4.163,443,23:54:44.534712,IP
172.217.4.163,443,10.42.0.137,60643,23:54:44.587342,IP
fe80::180a:31c5:a999:532,fe80::180a:31c5:a999:5325,ff02::2,ff02::2,23:54:45.101469,IP6
10.42.0.137,62590,216.58.217.196,443,23:54:45.778094,IP
10.42.0,161,31.13.73,36,23:54:46.125263,IP
10.42.0,161,31.13.73,36,23:54:47.130779,IP
Reques,Request,10.42.0,14,23:54:47.493636,ARP,
10.42.0,161,31.13.73,36,23:54:48.132378,IP
198.252.206.25,443,10.42.0.161,53837,23:54:48.223691,IP
